,smiles,ki
75,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,88.0
76,NNCCc1ccccc1,94.0
77,CNCc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,100.0
78,Cc1cc2c(nn1)-c1cc(OCc3cccc(Cl)c3)ccc1C2=O,110.0
79,CCCOc1ccc(C2CNCCS2)cc1,130.0
80,Cn1c(=O)c2c(nc(OCCOc3ccc(Cl)cc3)n2C)n(C)c1=O,130.0
81,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,140.0
82,O=C(/C=C/c1ccc(Cl)o1)c1cccc(Cl)c1,144.0
83,C#CCn1c(-c2ccc(C(=O)N/N=C/c3cccnc3)cc2)nc2ccccc21,150.0
84,O=C(/C=C/c1cccc(Cl)c1)Oc1ccc2c(c1)CC(=O)O2,190.0
85,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,199.4
86,Cc1nccc2c1[nH]c1cc(OCC3CCCCC3)ccc12,221.6
87,Cn1c(=O)c2c(nc(OCc3cccc(Cl)c3)n2C)n(C)c1=O,230.0
88,O=C1Nc2cc(/C=C/c3ccccc3)ccc2C1=O,266.0
89,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,280.0
90,CC(C)CCCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,280.0
91,Cn1c(=O)c2c(nc(OCCOc3ccccc3)n2C)n(C)c1=O,280.0
92,Cc1ccc(C(=O)/C=C/c2cccc(Cl)c2)o1,294.0
93,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1,330.0
94,CN(C)CCOC(=O)/C=C/c1ccc2occ(C(=O)Nc3ccccc3)c(=O)c2c1,337.0
95,COc1cc(C2=NNC(c3ccccc3)C2)ccc1O,350.0
96,Cn1c(=O)c2c(nc(OCc3cccc(F)c3)n2C)n(C)c1=O,370.0
97,CC1=CC(=O)c2ccccc2C1=O,400.0
98,O=Cc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,400.0
99,Cn1c(=O)c2c(nc(OCc3ccccc3)n2C)n(C)c1=O,430.0
100,O=C1Cc2cc(OC(=O)c3cccc(Cl)c3)ccc2O1,430.0
101,Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O,450.0
102,CCCCOc1ccc(C2CNC(=O)CS2)cc1,460.0
103,Cc1ccc(NC(=O)c2cc(=O)c3cc(/C=C/C(=O)OCCN(C)C)ccc3o2)cc1,478.0
104,Cc1cccc(COc2ccc3c(c2)-c2nnc(C)cc2C3=O)c1,480.0
105,O=C1/C(=C/c2ccc(O)cc2)Oc2cc(O)ccc21,510.0
106,O=C1Nc2ccc(-c3ccccc3)cc2C1=O,513.0
107,O=C(/C=C/c1ccccc1)Oc1ccc2c(c1)CC(=O)O2,520.0
108,Cc1ccc(/C=C/C(=N\NC(=O)c2cccs2)c2ccc(Cl)cc2)cc1,520.0
109,CSc1ccc(C(=O)/C=C/c2cccc3c2OCO3)cc1,550.0
110,CN(C)CCOc1ccc(/C=C2\COc3ccccc3C2=O)cc1,551.0
111,O=C1Nc2ccc(/C=C/c3cccc(F)c3)cc2C1=O,600.0
112,C#CCN(C)[C@@H]1CCc2ccccc21,600.0
113,O=C1Nc2ccc(CCc3ccccc3)cc2C1=O,603.0
114,O=C1Nc2ccc(Oc3ccccc3)cc2C1=O,663.0
115,COc1ccc(/C=C/C(=N\NC(=O)c2ccco2)c2ccc(Br)cc2)cc1,700.0
116,CS(=O)(=O)c1ccc(C(=O)/C=C/c2cccc3c2OCO3)cc1,720.0
117,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccccc2)cc1,750.0
118,Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,760.0
119,O=C(/C=C/c1cccc2c1OCO2)c1cccc(C(F)(F)F)c1,780.0
120,NC(=S)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,805.0
121,COc1ccc(/C=C/C(=N\NC(=O)c2ccc(OC)cc2)c2ccc(Cl)cc2)cc1,870.0
122,COc1ccc(C(/C=C/c2ccc(C)cc2)=N\NC(=O)c2snnc2C)cc1,900.0
123,COc1ccc(/C=C/C(=N\NC(=O)c2ccc(OC)cc2)c2ccc(Br)cc2)cc1,980.0
124,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccco2)cc1,990.0
125,Cc1cccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)c1,990.0
126,Cn1c(=O)c2c(nc(OCC3CCCCC3)n2C)n(C)c1=O,1000.0
127,CN1CCc2ccccc2C1.Cl,1000.0
128,COc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,1050.0
129,O=C1NC(=O)c2cc(Oc3ccccc3)ccc21,1073.0
130,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,1080.0
131,COc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,1100.0
132,COc1cccc(/C=C/C(=O)c2ccc(S(C)(=O)=O)cc2)c1OC,1150.0
133,c1ccc2c(c1)[nH]c1cnccc12,1200.0
134,Cn1cccc1C(O)C(c1ccccc1)N1CCCCC1,1240.0
135,O=C(CN[C@H]1C[C@@H]1c1ccc(OCc2ccccc2)cc1)NC1CC1,1250.0
136,Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,1300.0
137,O=C1Nc2ccc(/C=C/c3cccc(Cl)c3)cc2C1=O,1400.0
138,Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(O)cc2)cc1,1480.0
139,O=C1C=CC(=O)c2ccccc21,1500.0
