,smiles,docking_score
73,O=C1Nc2ccc(Oc3ccccc3)cc2C1=O,-9.66662
74,NC(=O)c1ccc(OCc2cccc(C(F)(F)F)c2)cc1,-9.66008
75,O=C1OCc2ccc(OCc3cccc(Br)c3)cc12,-9.65623
76,Cc1cc(=O)oc2cc3oc4c(c3cc12)CCC4,-9.65011
77,CC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1O,-9.64369
78,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(=O)N,-9.63987
79,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12,-9.63477
80,Cc1ccc(CCOc2ccc3c(c2)C(=O)OC3)cc1,-9.63283
81,O=c1cc(c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-9.6269
82,O=C1OCc2ccc(OCC3CCCCC3)cc12,-9.62507
83,CC(=O)c1ccc(OCc2cccc(F)c2)cc1O,-9.616480000000001
84,O=C1Cc2cc(OC(=O)c3ccccc3)ccc2O1,-9.609739999999999
85,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc12,-9.60321
86,Cc1ccc(COc2ccc3c(c2)CCCC3=O)cc1,-9.593110000000001
87,O=C1NC(=O)c2cc(SCc3ccccc3)ccc12,-9.59188
88,CC(=O)c1ccc(OCc2ccc(F)c(F)c2)cc1,-9.588510000000001
89,O=c1ccc2ccc(OCc3ccccc3)cc2o1,-9.58727
90,O=c1ccoc2ccc(OCc3ccc(F)cc3)cc12,-9.58425
91,Cc1cccc(Cl)c1C(=O)NCc1ccc(c2cc[nH]c(=O)c2)cc1,-9.58195
92,O=C(Nc1ccc(O)c(O)c1)c1cc(=O)c2ccccc2o1,-9.5796
93,O=C1CCc2ccc(OCc3ccccc3)cc2N1,-9.56685
94,CC(=O)c1ccc(OCc2ccc(F)cc2)cc1O,-9.56519
95,NCc1ccc(OCc2ccccc2C(F)(F)F)cc1,-9.56506
96,CC(=O)c1ccc(OCc2ccccc2C(F)(F)F)cc1,-9.56269
97,NC(=O)c1ccc(OCc2ccccc2C(F)(F)F)cc1,-9.55153
98,NCc1ccc(OCc2cccc(C(F)(F)F)c2)cc1,-9.54518
99,CC(=O)c1c(O)cccc1OCc1ccc(Br)cc1,-9.53589
100,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,-9.53411
101,N[C@@H]1C[C@H]1c1cccc(NC(=O)c2ccccc2)c1,-9.530710000000001
