,smiles,docking_score
64,Cc1cccc(NC(=O)c2coc3ccc(C)cc3c2=O)c1,-11.53055
65,O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12,-11.52723
66,O=c1ccoc2cc(OCc3ccc(C(F)(F)F)cc3)ccc12,-11.52363
67,Cc1cc(c2ccc(CNC(=O)c3c(Cl)cccc3Cl)cc2)cc(=O)[nH]1,-11.52341
68,O=c1cc(C(F)(F)F)c2ccc(OCc3ccc(Br)cc3)cc2o1,-11.521469999999999
69,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,-11.498489999999999
70,O=C1COC(=NN1)c1ccc(NC(=O)Nc2cccc(Cl)c2)cc1,-11.4967
71,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,-11.49653
72,Cc1ccc2occ(C(=O)Nc3ccc(Cl)cc3)c(=O)c2c1,-11.48831
73,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,-11.46755
74,Cc1cccc(CNc2ccc([C@H]3C[C@@H]3NC3CCC(N)CC3)cn2)c1,-11.46694
75,NC1CCC(N[C@H]2C[C@@H]2c2ccc(c3cccc(C(F)(F)F)c3)nc2)CC1,-11.46676
76,Cn1c(=O)c2c(nc3n2CCCN3Cc2cccc(Cl)c2)n(C)c1=O,-11.45373
77,Cn1c(=O)c2c(cc(OCc3ccc(Cl)c(C(F)(F)F)c3)n2C)n(C)c1=O,-11.43494
78,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,-11.43074
79,Cn1c(=O)c2c(c3ccc(c4cccc(Cl)c4)cc3n2C)n(C)c1=O,-11.429030000000001
80,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O,-11.418569999999999
81,COc1ccc(c2cc3c(-c4ccccc4C3=O)nn2)cc1,-11.41732
82,COc1cc2ccnc3-c4c(C(=O)c(c23)c1O)cccc4,-11.405289999999999
83,Cc1ccc(C)c(NC(=O)c2cc3ccccc3oc2=O)c1,-11.40478
84,O=C(Nc1cc2ccccc2oc1=O)c1ccc(Cl)c(Cl)c1,-11.39686
85,Cc1ccc2oc(=O)c(c3ccccc3OCc3ccccc3)cc2c1,-11.390310000000001
86,C#CCNC1CCc2c(OCCOc3cccc4ccccc34)cccc12,-11.39028
87,Cc1cccc(n2nc(N)c(C(=O)CCc3ccccc3)n2)c1,-11.38824
88,N[C@H]1CC[C@H](N[C@H]2C[C@@H]2c2ccc(c3cccc(C(F)(F)F)c3)cc2)CC1,-11.38065
89,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)cc2)n(C)c1=O,-11.37761
90,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,-11.37553
91,O=C(O)c1cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2oc1=O,-11.36875
92,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,-11.35902
93,Cc1nnc2-c3c(C(=O)c2c1c1ccccc1)cccc3,-11.3505
94,O=c1[nH]c(SCc2ccc(C(F)(F)F)cc2)nc2ccccc12,-11.3447
95,CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1,-11.3328
96,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,-11.32042
97,O=C(O)c1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,-11.315710000000001
98,O=C(Nc1ccc(I)cc1)c1coc2ccccc2c1=O,-11.314119999999999
99,O=C1c2ccccc2-c2nnc(c3ccc(Br)cc3)cc12,-11.3126
100,CCN(CCCOc1cc(O)c2c(=O)c3ccccc3sc2c1)Cc1ccccc1,-11.304960000000001
101,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,-11.30476
102,C#CCNC1CCc2c(OCc3ccc(C(F)(F)F)cc3)cccc12,-11.30472
103,Cc1ccc2oc(=O)c(C(=O)Nc3cccc(O)c3)cc2c1,-11.29632
104,O=C1c2ccccc2-c2nnc(c3ccc([N+](=O)[O-])cc3)cc12,-11.29161
105,O=C1c2ccccc2-c2nnc(c3cccc(Cl)c3)cc12,-11.279110000000001
106,CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,-11.27771
107,Cc1ccc2occ(C(=O)Nc3ccc(O)cc3)c(=O)c2c1,-11.27623
108,Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,-11.27307
109,O=C1CCc2ccc(OCCCN3CCc4ccccc4C3)cc2N1,-11.27195
110,CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)[nH]c3c2)cc1,-11.27057
111,CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,-11.25795
112,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Br)cc3Br)ccc12,-11.25682
113,N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccc(c3cccc(C(F)(F)F)c3)cc2)CC1,-11.25425
114,NC(=O)C1CCC(N[C@H]2C[C@@H]2c2ccc(c3cccc(C(F)(F)F)c3)nc2)CC1,-11.25003
115,c1cn(c2ccc3nc(c4ccc5occc5c4)ncc3c2)cn1,-11.23582
116,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,-11.23264
117,Cc1cccc(Cl)c1C(=O)NCc1ccc(c2cc[nH]c(=O)c2)cc1,-11.221960000000001
118,O=C1COC(=NN1)c1ccc(C(=O)Nc2cccc(Cl)c2)cc1,-11.220419999999999
119,O=C(CCCc1ccccc1)Nc1nc2cc(Cl)ccc2c(=O)s1,-11.217
120,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1F,-11.214
121,Cn1c(=O)c2c(cc(C#CCc3ccccc3)n2C)n(C)c1=O,-11.21077
122,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(Br)c4)cc3)ccc12,-11.20905
123,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(O)c3ncccc23)cc1,-11.2066
124,O=C(Nc1ccc(O)c(O)c1)c1cc(=O)c2ccccc2o1,-11.2048
125,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)ccc(F)c1Cl,-11.20203
126,COc1ccc2cc(c3c[nH]c4ccccc34)c(=O)oc2c1,-11.2019
127,Nc1ccccc1NC(=O)c1ccc(CNC2CC2c2ccccc2)cc1,-11.19277
128,Cc1ccc(C(=O)Nc2cc3ccccc3oc2=O)cc1,-11.18723
129,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1Cl,-11.18395
130,O=C1COC(=NN1)c1ccc(NS(=O)(=O)c2cccc(Cl)c2)cc1,-11.18287
131,COc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1O,-11.17738
132,O=c1oc2ccccc2cc1c1c[nH]c2ccccc12,-11.17492
133,O=C(Nc1cc2ccccc2oc1=O)OCc1ccccc1,-11.16813
134,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12,-11.16558
135,Cc1c(C#N)c(=O)oc2cc(OCCN3CCC(Cc4ccccc4)CC3)ccc12,-11.1655
136,O=C1c2ccccc2-c2nnc(c3cccc(Br)c3)cc12,-11.16462
137,O=c1cc(C(F)(F)F)c2ccc(OCCNC3CCN(Cc4ccccc4)CC3)cc2o1,-11.16024
138,COc1ccc2occ(C(=O)Nc3ccc(C)cc3)c(=O)c2c1,-11.15888
139,Cc1ccccc1NC(=O)c1cc2ccccc2oc1=O,-11.14039
140,Cc1ccc(c2cc3cc(O)ccc3oc2=O)cc1,-11.13968
